"id_escola","nomefantasia"
"229","Sistema Colégio e Curso"
"230","Colégio Parque Verde"
"231","Educandário Rosalinda Mondini"
"232","Colégio Questão de Inteligência QI Altiplano"
"233","Escola Modelo PF"
"234","Carl Rogers"
"235","Átrios Escola Cristã"
"236","Arte de Crescer"
"237","Colégio Conecta"
"238","Núcleo Expressar"
"239","EDB - Espaço do Bebê"
"240","EREM Frei Orlando"
"241","Colégio Politécnico Absoluto"
"242","Instituto Educacional Sucesso"
"243","Colégio Degraus do Saber"
"244","Escola El-Elion"
"245","Escola de Aprendizagem Nossa Senhora da Penha - EANSP"
"246","Vila do Brincar - Escola de Infâncias"
"247","CEP - Centro Educacional Progresso"
"248","Colégio Interativo"
"249","Centro Educacional Renascer"
"250","Centro Educacional Ágape"
"251","Universidade da Infância"
"252","Colégio e Curso Link"
"253","Complexo Noilde Ramalho"
"254","Colégio Objetivo Sapé"
"255","Colégio Integração"
"256","Educandário Nossa Senhora dos Navegantes"
"257","Centro Educacional Parque"
"258","Centro Educacional Rosa de Sarom"
"259","Colégio Afetivo"
"260","Bioaprender Escola da Infância"
"261","Primeira Infância"
"262","NEI Estrela do Natal"
"263","Escola Laura Vicuna"
"264","DCC Colégio e Curso"
"265","Instituto Educacional O Mestre"
"266","Centro Educacional Equilíbrio"
"267","Colégio Novo Tempo"
"268","EMEFM Dep João Fernandes de Lima"
"269","Escola Municipal Professora Eunice Alves dos Santos"
"270","EMEIEF Profª Beatriz Silva do Nascimento"
"271","Escola Municipal Francisco Bezerra da Costa"
"272","Escola Municipal Joaquim Hermínio dos Santos"
"273","Escola Municipal Industrial Infantil Manoel Fernandes de Lima"
"274","CREI Maria Justino da Silva"
"275","Espaço Cresça e Apareça"
"276","Creche Escola Espaço Infantil"
"277","INSF KIDS"
"278","Centro Educacional Girasssol"
"279","EIE - Espaço Integrado de Educação"
"280","Escola Mundo Mágico Ltda"
"281","Espaço Educacional Integrado"
"282","Colégio e Curso Inova"
